SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
ABSLFTRHDN,Aditya Birla Sun Life Mutual Fund- Aditya Birla Sun Life FTP-DPNDP,MF,24-OCT-2018,10,1,INF209KB1YC6,10
ABSLFTRHDQ,Aditya Birla Sun Life Mutual Fund- Aditya Birla Sun Life FTP-DPQDP,MF,24-OCT-2018,10,1,INF209KB1YD4,10
ABSLFTRHRG,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life FTP-RPG,MF,24-OCT-2018,10,1,INF209KB1XY2,10
ABSLFTRHRN,Aditya Birla Sun Life Mutual Fund-Aditya Birla Sun Life FTP-RPNDP,MF,24-OCT-2018,10,1,INF209KB1XZ9,10
ABSLFTRHRQ,Aditya Birla Sun Life Mutual Fund- Aditya Birla Sun Life FTP-RPQDP,MF,24-OCT-2018,10,1,INF209KB1YA0,10
ABSLFTRIDG,Aditya Birla SunLife MF-Aditya Birla SunLife FTP-Sr RI (1100 day)-DPG,MF,06-NOV-2018,10,1,INF209KB1YK9,10
ABSLFTRIDN,Aditya Birla SunLife MF-Aditya Birla SunLife FTP-Sr RI(1100 day)-DPDP,MF,06-NOV-2018,10,1,INF209KB1YL7,10
ABSLFTRIRG,Aditya Birla SunLife MF-Aditya Birla SunLife FTP-Sr RI (1100 day)-RPG,MF,06-NOV-2018,10,1,INF209KB1YI3,10
ABSLFTRIRN,Aditya Birla SunLife MF-Aditya Birla SunLife FTP-Sr RI(1100 day)-RPDP,MF,06-NOV-2018,10,1,INF209KB1YJ1,10
ABSLFTRLDG,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Fixed Term P,MF,06-NOV-2018,10,1,INF209KB1YS2,10
ABSLFTRLRG,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Fixed Term P,MF,06-NOV-2018,10,1,INF209KB1YQ6,10
ABSLFTRLRN,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Fixed Term P,MF,06-NOV-2018,10,1,INF209KB1YR4,10
ABSLFTRNDG,Aditya Birla Sun Life Mutual Fund - ABSLFMP - Sr RN (1240 days) DPG,MF,21-NOV-2018,10,1,INF209KB1ZA7,10
ABSLFTRNDN,Aditya Birla Sun Life Mutual Fund - ABSLFMP - Sr RN (1240 days) DPNDP,MF,21-NOV-2018,10,1,INF209KB1ZB5,10
ABSLFTRNRG,Aditya Birla Sun Life Mutual Fund - ABSLFMP - Sr RN (1240 days) RPG,MF,21-NOV-2018,10,1,INF209KB1YY0,10
ABSLFTRNRN,Aditya Birla Sun Life Mutual Fund - ABSLFMP - Sr RN (1240 days) RPNDP,MF,21-NOV-2018,10,1,INF209KB1YZ7,10
ABSLFTRODG,Aditya Birla Sun Life Fixed Term Plan - Series RO (1241 days)-DP-GP,MF,28-NOV-2018,10,1,INF209KB1ZW1,10
ABSLFTRORG,Aditya Birla Sun Life Fixed Term Plan - Series RO (1241 days)-RP- DPP,MF,28-NOV-2018,10,1,INF209KB1ZU5,10
ABSLFTRORN,Aditya Birla Sun Life Fixed Term Plan - Series RO (1241 days) - RP-P,MF,28-NOV-2018,10,1,INF209KB1ZV3,10
ABSLFTRPDG,Aditya Birla Sun Life Fixed Term Plan - Series RP (1239 days)-DP-GP,MF,04-DEC-2018,10,1,INF209KB1ZS9,10
ABSLFTRPDN,Aditya Birla Sun Life Fixed Term Plan - Series RP(1239 days)-DP-DPP,MF,04-DEC-2018,10,1,INF209KB1ZT7,10
ABSLFTRPRG,Aditya Birla Sun Life Fixed Term Plan - Series RP(1239 days)-RP-GP,MF,04-DEC-2018,10,1,INF209KB1ZQ3,10
ABSLFTRPRN,Aditya Birla Sun Life Fixed Term Plan - Series RP(1239 days) -RP- DPP,MF,04-DEC-2018,10,1,INF209KB1ZR1,10
ABSLFTRQDG,Aditya Birla Sun Life MF - ABSL FTP-Sr. RQ (1103 days) DP-Growth,MF,07-DEC-2018,10,1,INF209KB1ZO8,10
ABSLFTRQDN,Aditya Birla Sun Life MF - ABSL FTP-Sr. RQ (1103 days)  DP-DP,MF,07-DEC-2018,10,1,INF209KB1ZP5,10
ABSLFTRQRG,Aditya Birla Sun Life MF - ABSL FTP-Sr. RQ (1103 days) RP-Growth,MF,07-DEC-2018,10,1,INF209KB1ZM2,10
ABSLFTRQRN,Aditya Birla Sun Life MF - ABSL FTP-Sr. RQ (1103 days) RP-DP,MF,07-DEC-2018,10,1,INF209KB1ZN0,10
ABSLFTRRDG,Aditya Birla SunLife MF-Aditya Birla SunLife FTP-Sr RR(1240 D)-DPGO,MF,13-DEC-2018,10,1,INF209KB1A05,10
ABSLFTRRDN,Aditya Birla SunLife MF-Aditya Birla SunLife FTP-Sr RR(1240 D)-DPDPO,MF,13-DEC-2018,10,1,INF209KB1A13,10
ABSLFTRRRG,Aditya Birla SunLife MF-Aditya Birla SunLife FTP-Sr RR(1240 D)-RPGO,MF,13-DEC-2018,10,1,INF209KB1ZY7,10
ABSLFTRRRN,Aditya Birla SunLife MF-Aditya Birla SunLife FTP-Sr RR(1240 D)-RPDPO,MF,13-DEC-2018,10,1,INF209KB1ZZ4,10
ABSLFTRUDG,Aditya Birla Sun Life MF - ABSL FTP- Sr. RU (1225 days)-DP-DP,MF,27-DEC-2018,10,1,INF209KB1B38,10
ABSLFTRUDN,Aditya Birla Sun Life MF - ABSL FTP- Sr. RU (1225 days)-DP-G,MF,27-DEC-2018,10,1,INF209KB1B20,10
ABSLFTRURG,Aditya Birla Sun Life MF - ABSL FTP- Sr. RU (1225 days)- RP-G,MF,27-DEC-2018,10,1,INF209KB1B04,10
ABSLFTRURN,Aditya Birla Sun Life MF - ABSL FTP- Sr. RU (1225 days)-RP-DP,MF,27-DEC-2018,10,1,INF209KB1B12,10
ABSLFTRVDG,Aditya Birla Sun Life Fixed Term Plan-Series RV-DP-GO,MF,28-DEC-2018,10,1,INF209KB1B61,10
ABSLFTRVDN,Aditya Birla Sun Life Fixed Term Plan-Series RV-DP-DPO,MF,28-DEC-2018,10,1,INF209KB1B79,10
ABSLFTRVRG,Aditya Birla Sun Life Fixed Term Plan-Series RV-RP-GO,MF,28-DEC-2018,10,1,INF209KB1B46,10
ABSLFTRVRN,Aditya Birla Sun Life Fixed Term Plan-Series RV-RP-DPO,MF,28-DEC-2018,10,1,INF209KB1B53,10
ABSLFTRWDG,Aditya Birla Sun Life FTP - Series RW (1202 days)-DP-GO,MF,03-JAN-2019,10,1,INF209KB1C11,10
ABSLFTRWDN,Aditya Birla Sun Life FTP - Series RW (1202 days)-DP-DPO,MF,03-JAN-2019,10,1,INF209KB1C29,10
ABSLFTRWRG,Aditya Birla Sun Life FTP - Series RW (1202 days)-RP-GO,MF,03-JAN-2019,10,1,INF209KB1B95,10
ABSLFTRXDG,Aditya Birla Sun Life FTP - Series RX (1200 days) - DP-GO,MF,15-JAN-2019,10,1,INF209KB1C52,10
ABSLFTRXDN,Aditya Birla Sun Life FTP - Series RX (1200 days) - DP-DPO,MF,15-JAN-2019,10,1,INF209KB1C60,10
ABSLFTRXRG,Aditya Birla Sun Life FTP - Series RX (1200 days) - RP-GO,MF,15-JAN-2019,10,1,INF209KB1C37,10
ABSLFTRXRN,Aditya Birla Sun Life FTP - Series RX (1200 days) - RP-DPO,MF,15-JAN-2019,10,1,INF209KB1C45,10
ABSLFTRYDG,Aditya Birla Sun Life FTP - Series RY (1199 days)-DP-GO,MF,10-JAN-2019,10,1,INF209KB1C94,10
ABSLFTRYDN,Aditya Birla Sun Life FTP - Series RY (1199 days)-DP-DPO,MF,10-JAN-2019,10,1,INF209KB1D02,10
ABSLFTRYRG,Aditya Birla Sun Life FTP - Series RY (1199 days)-RP-GO,MF,10-JAN-2019,10,1,INF209KB1C78,10
ABSLFTRYRN,Aditya Birla Sun Life FTP - Series RY (1199 days)-RP-DPO,MF,10-JAN-2019,10,1,INF209KB1C86,10
ABSLFTSADG,Aditya Birla Sun Life FTP - Series SA (1180 days) - DP-GO,MF,25-JAN-2019,10,1,INF209KB1D77,10
ABSLFTSADN,Aditya Birla Sun Life FTP - Series SA (1180 days)-DP-DPO,MF,25-JAN-2019,10,1,INF209KB1D85,10
ABSLFTSARG,Aditya Birla Sun Life FTP - Series SA (1180 days)-RP-GO,MF,25-JAN-2019,10,1,INF209KB1D51,10
ABSLFTSARN,Aditya Birla Sun Life FTP - Series SA (1180 days)-RP-DPO,MF,25-JAN-2019,10,1,INF209KB1D69,10
ABSLFTSFDG,Aditya Birla Sun Life Mutual Fund-ABSLFTP-Series SF (1161 days)-DPGO,MF,21-FEB-2019,10,1,INF209KB1G90,10
ABSLFTSFDN,Aditya Birla Sun Life Mutual Fund-ABSLFTP-Series SF (1161 days)-DPDPO,MF,21-FEB-2019,10,1,INF209KB1H08,10
ABSLFTSFRG,Aditya Birla Sun Life Mutual Fund-ABSLFTP-Series SF (1161 days)-RPGO,MF,21-FEB-2019,10,1,INF209KB1G74,10
ABSLFTSFRN,Aditya Birla Sun Life Mutual Fund-ABSLFTP-Series SF (1161 days)-RPDPO,MF,21-FEB-2019,10,1,INF209KB1G82,10
ABSLFTSGDG,Aditya Birla Sun Life Mutual Fund-ABSL FTP - Sr SG (1155 days) DPGO,MF,28-FEB-2019,10,1,INF209KB1H73,10
ABSLFTSGDN,Aditya Birla Sun Life Mutual Fund-ABSL FTP - Sr SG (1155 days) DPDPO,MF,28-FEB-2019,10,1,INF209KB1H81,10
ABSLFTSGRG,Aditya Birla Sun Life Mutual Fund-ABSL FTP - Sr SG (1155 days) RPGO,MF,28-FEB-2019,10,1,INF209KB1H57,10
ABSLFTSGRN,Aditya Birla Sun Life Mutual Fund-ABSL FTP - Sr SG (1155 days) RPDPO,MF,28-FEB-2019,10,1,INF209KB1H65,10
